group_name,session,feature,scenario,step,line_number,step_duration,timestamp,step_result,step_type
,0-Feature,Feature: Verify Environment,Scenario: Set Up Environment,"And I assign value ""Data/Dynamic Data/-/"" to unassigned variable ""dynamic_data_directory_location""",198,1,1675400416423,Pass,SCENARIO_STEP
,0-Feature,Feature: Verify Environment,Scenario: Set Up Environment,"And I assign value ""Data/API/-/"" to unassigned variable ""api_data_directory_location""",199,1,1675400416425,Pass,SCENARIO_STEP
,0-Feature,Feature: Verify Environment,Scenario: Set Up Environment,"And I copy project directory path to variable ""project_directory_location""",200,3,1675400416439,Pass,SCENARIO_STEP
,0-Feature,Feature: Verify Environment,Scenario: Set Up Environment,"And I ""setup the directory_load_path and import the Import Utilities feature""",202,0,1675400416443,Pass,SCENARIO_STEP
,0-Feature,Feature: Verify Environment,Scenario: Set Up Environment,"Then I assign value ""Custom,Base"" to unassigned variable ""directory_load_path""",203,7,1675400416444,Pass,SCENARIO_STEP
,0-Feature,Feature: Verify Environment,Scenario: Set Up Environment,"And I assign ""Import Utilities.feature"" to variable ""import_file""",204,0,1675400416453,Pass,SCENARIO_STEP
,0-Feature,Feature: Verify Environment,Scenario: Set Up Environment,"When I execute scenario ""Perform File Import""",205,2395,1675400416454,Pass,SCENARIO_STEP
,0-Feature,Feature: Verify Environment,Scenario: Perform File Import,"Given I ""adjust import_file to location relative to utilities location""",283,1,1675400416459,Pass,SCENARIO_STEP
,0-Feature,Feature: Verify Environment,Scenario: Perform File Import,"Then I assign variable ""full_path_import_file"" by combining Utilities/-/ ($utilities_directory_location) Import Utilities.feature ($import_file)",284,1,1675400416464,Pass,SCENARIO_STEP
,0-Feature,Feature: Verify Environment,Scenario: Perform File Import,"And I unassign variable ""import_file""",285,2,1675400416467,Pass,SCENARIO_STEP
,0-Feature,Feature: Verify Environment,Scenario: Perform File Import,"And I assign Utilities/-/Import Utilities.feature ($full_path_import_file) to variable ""import_file""",286,1,1675400416470,Pass,SCENARIO_STEP
,0-Feature,Feature: Verify Environment,Scenario: Perform File Import,"And I ""create feature_load_path, in reverse order of directory_load_path, if it does not exists yet""",288,1,1675400416471,Pass,SCENARIO_STEP
,0-Feature,Feature: Verify Environment,Scenario: Perform File Import,"If I verify variable ""feature_load_path"" is assigned",289,0,1675400416474,False,SCENARIO_STEP
,0-Feature,Feature: Verify Environment,Scenario: Perform File Import,"Else I ""create a feature_load_path in reverse order""",290,2,1675400416477,Pass,SCENARIO_STEP
,0-Feature,Feature: Verify Environment,Scenario: Perform File Import,"Given I assign 1 to variable ""import_loop""",291,1,1675400416481,Pass,SCENARIO_STEP
,0-Feature,Feature: Verify Environment,Scenario: Perform File Import,"While I assign 1 ($import_loop) th item from "","" delimited list Custom,Base ($directory_load_path) to variable ""directory""",292,1,1675400416486,True,SCENARIO_STEP
,0-Feature,Feature: Verify Environment,Scenario: Perform File Import,"If I verify variable ""feature_load_path"" is assigned",293,0,1675400416491,False,SCENARIO_STEP
,0-Feature,Feature: Verify Environment,Scenario: Perform File Import,"Else I assign Custom ($directory) to variable ""feature_load_path""",295,0,1675400416496,Pass,SCENARIO_STEP
,0-Feature,Feature: Verify Environment,Scenario: Perform File Import,"And I increase variable ""import_loop""",297,5,1675400416501,Pass,SCENARIO_STEP
,0-Feature,Feature: Verify Environment,Scenario: Perform File Import,"While I assign 2 ($import_loop) th item from "","" delimited list Custom,Base ($directory_load_path) to variable ""directory""",292,0,1675400416508,True,SCENARIO_STEP
,0-Feature,Feature: Verify Environment,Scenario: Perform File Import,"If I verify variable ""feature_load_path"" is assigned",293,0,1675400416522,True,SCENARIO_STEP
,0-Feature,Feature: Verify Environment,Scenario: Perform File Import,"Then I assign variable ""feature_load_path"" by combining Base ($directory) "","" Custom ($feature_load_path)",294,1,1675400416526,Pass,SCENARIO_STEP
,0-Feature,Feature: Verify Environment,Scenario: Perform File Import,"And I increase variable ""import_loop""",297,1,1675400416529,Pass,SCENARIO_STEP
,0-Feature,Feature: Verify Environment,Scenario: Perform File Import,"While I assign 3 ($import_loop) th item from "","" delimited list Custom,Base ($directory_load_path) to variable ""directory""",292,1,1675400416531,False,SCENARIO_STEP
,0-Feature,Feature: Verify Environment,Scenario: Perform File Import,"When I ""import files""",301,1,1675400416533,Pass,SCENARIO_STEP
,0-Feature,Feature: Verify Environment,Scenario: Perform File Import,"Given I assign 1 to variable ""import_loop""",302,1,1675400416535,Pass,SCENARIO_STEP
,0-Feature,Feature: Verify Environment,Scenario: Perform File Import,"And I assign ""FALSE"" to variable ""file_imported""",303,0,1675400416537,Pass,SCENARIO_STEP
,0-Feature,Feature: Verify Environment,Scenario: Perform File Import,"While I assign 1 ($import_loop) th item from "","" delimited list Base,Custom ($feature_load_path) to variable ""directory""",304,0,1675400416540,True,SCENARIO_STEP
,0-Feature,Feature: Verify Environment,Scenario: Perform File Import,"Given I assign variable ""directory_token"" by combining ""/"" Base ($directory) ""/""",305,0,1675400416542,Pass,SCENARIO_STEP
,0-Feature,Feature: Verify Environment,Scenario: Perform File Import,"Given I execute Groovy ""new_import_file = import_file.replaceAll('/-/', directory_token).replaceAll('\\\\-\\\\', directory_token)""",306,1957,1675400416548,Pass,SCENARIO_STEP
